player_id,name,position,G,A,points,shots,timeOnIcePerGame
8476892,COLTON PARAYKO,D,8,14,22,127,21.71
8474162,JAKE MUZZIN,D,5,17,22,96,20.41
8470281,DUNCAN KEITH,D,2,20,22,93,22.81
8475855,JESPER FAST,RW,9,13,22,73,15.86
8476994,VINNIE HINOSTROZA,LW,7,15,22,104,13.01
8473544,DERICK BRASSARD,C,9,13,22,87,13.46
8475209,RICHARD PANIK,RW,9,12,21,70,11.77
8476897,OSKAR SUNDQVIST,C,10,11,21,92,13.87
8477839,CONOR SHEARY,LW,9,12,21,91,12.95
8479293,BRANDON TANEV,LW,9,12,21,83,14.22
8476393,NICK COUSINS,C,8,13,21,95,13.14
8479345,JAKOB CHYCHRUN,D,8,13,21,125,20.97
8474038,PAUL BYRON,LW,9,12,21,70,13.92
8475220,MARCUS FOLIGNO,LW,9,12,21,80,13.87
8475236,CODY EAKIN,C,9,12,21,76,14.2
8476906,SHAYNE GOSTISBEHERE,D,6,15,21,98,17.55
8478866,DOMINIK SIMON,C,7,14,21,92,13.86
8471274,ALEX GOLIGOSKI,D,3,18,21,77,21.53
8476854,HAMPUS LINDHOLM,D,4,17,21,99,21.85
8471233,TRAVIS ZAJAC,C,8,13,21,68,16.6
8474685,MATT CALVERT,LW,9,12,21,95,13.65
8476918,JIMMY VESEY,LW,9,11,20,87,13.65
8471702,MATT NISKANEN,D,5,15,20,92,20.73
8466139,PATRICK MARLEAU,C,9,11,20,95,15.1
8474031,KEVIN SHATTENKIRK,D,3,17,20,97,18.0
8473573,ARTEM ANISIMOV,C,12,8,20,93,13.71
8477425,MILES WOOD,LW,9,11,20,116,12.96
8475200,DMITRY ORLOV,D,3,17,20,80,21.07
8471676,BOBBY RYAN,RW,9,11,20,96,13.38
8477948,TRAVIS SANHEIM,D,6,14,20,86,19.04
8479370,TYSON JOST,C,8,12,20,94,12.48
8476889,RADEK FAKSA,C,10,10,20,88,15.29
8477964,IVAN BARBASHEV,C,9,11,20,63,12.89
8479465,DRAKE CAGGIULA,LW,11,9,20,81,11.9
8478569,NOEL ACCIARI,C,13,7,20,90,15.07
8474176,CARL HAGELIN,LW,6,14,20,94,13.85
8474683,DEREK GRANT,C,10,10,20,87,13.23
8476624,BARCLAY GOODROW,RW,7,13,20,81,14.76
8474190,WAYNE SIMMONDS,RW,8,12,20,97,14.5
8477355,WILL BUTCHER,D,3,17,20,66,17.26
8476850,RYAN MURRAY,D,3,17,20,67,19.11
8475231,CASEY CIZIKAS,C,12,8,20,81,13.84
8475163,ALEX CHIASSON,RW,10,10,20,81,13.2
8470621,COREY PERRY,RW,7,12,19,82,13.46
8477450,JASON DICKINSON,C,7,12,19,80,14.38
8475834,MARCUS SORENSEN,LW,9,10,19,71,13.37
8476905,CHANDLER STEPHENSON,C,8,11,19,63,13.77
8470047,VALTTERI FILPPULA,C,7,12,19,60,15.72
8478396,NOAH HANIFIN,D,4,15,19,96,20.02
8476326,JOSH ARCHIBALD,RW,10,9,19,67,12.94
8476442,MATT NIETO,LW,7,12,19,72,13.18
8477986,BRANDON MONTOUR,D,5,14,19,92,18.84
8473449,KYLE OKPOSO,RW,8,11,19,89,12.66
8476463,JONAS BRODIN,D,3,16,19,80,20.3
8477406,MATTIAS JANMARK,C,6,13,19,78,14.25
8476981,JOSH ANDERSON,RW,9,10,19,133,15.55
8475181,NICK LEDDY,D,3,16,19,70,20.04
8475738,JORDAN WEAL,C,9,10,19,88,13.24
8474034,PATRICK MAROON,LW,7,12,19,73,12.37
8479944,ZACH ASTON-REESE,C,9,10,19,96,13.91
8476374,SEAN KURALY,C,6,12,18,85,12.96
8469455,JASON SPEZZA,C,6,12,18,71,10.99
8476925,COLTON SISSONS,C,9,9,18,64,14.07
8477488,BRETT PESCE,D,4,14,18,88,20.55
8478407,VINCE DUNN,D,6,12,18,98,15.76
8475766,AUSTIN WATSON,LW,8,10,18,66,11.75
8474040,SAM GAGNER,C,8,10,18,101,13.14
8474056,P.K. SUBBAN,D,5,13,18,119,20.97
8477346,MACKENZIE WEEGAR,D,6,12,18,87,18.79
8476902,ESA LINDELL,D,4,14,18,83,22.19
8473618,MATHIEU PERREAULT,C,8,10,18,77,12.71
8470619,BRIAN BOYLE,C,9,9,18,80,12.24
8470257,ALEXANDER STEEN,LW,7,11,18,75,13.77
8477451,RYAN HARTMAN,RW,8,10,18,91,12.12
8476869,BRADY SKJEI,D,5,13,18,101,19.68
8474581,JAKE GARDINER,D,2,16,18,66,16.45
8476934,BROCK MCGINN,LW,7,10,17,79,12.99
8474091,BRANDON SUTTER,C,8,9,17,90,14.63
8474151,RYAN MCDONAGH,D,2,15,17,67,19.96
8476473,CONNOR MURPHY,D,5,12,17,101,19.95
8478020,MICHAEL AMADIO,C,7,10,17,78,12.42
8474602,JUSTIN SCHULTZ,D,3,14,17,92,18.95
8475752,TYLER PITLICK,C,8,9,17,74,12.03
8478075,ANDERS BJORK,LW,7,10,17,67,12.5
8476875,MIKE MATHESON,D,6,11,17,89,17.66
8477969,MARCUS PETTERSSON,D,2,15,17,66,18.19
8477290,MICHAEL RAFFL,LW,7,10,17,65,12.01
8478843,DENIS MALGIN,C,7,10,17,70,11.88
8477935,SAM BENNETT,C,9,8,17,88,12.34
8476913,DEVIN SHORE,C,7,10,17,64,11.74
8471242,MIKE GREEN,D,3,14,17,88,19.87
8474849,ANTOINE ROUSSEL,LW,7,10,17,72,11.84
8474574,TYLER MYERS,D,4,13,17,102,20.24
8473564,MICHAEL FROLIK,RW,7,10,17,80,12.31
8475279,BEN CHIAROT,D,6,11,17,96,21.37
8476525,COLIN MILLER,D,2,14,16,86,16.67
8474673,TJ BRODIE,D,3,13,16,61,19.51
8477474,MADISON BOWEY,D,3,13,16,69,16.85
8475753,JUSTIN FAULK,D,5,11,16,113,19.71
8476422,MIKE REILLY,D,2,14,16,97,17.28
8476891,MATT GRZELCYK,D,3,13,16,81,17.37
8480144,DAVID KAMPF,C,6,10,16,73,13.33
8473473,MILAN LUCIC,LW,6,10,16,66,12.99
8471260,BLAKE COMEAU,LW,7,9,16,74,14.43
8476392,ADAM LOWRY,C,7,9,16,79,14.43
8477846,RYAN CARPENTER,C,5,11,16,74,13.52
8475160,KYLE CLIFFORD,LW,7,9,16,87,11.01
8478542,EVAN RODRIGUES,LW,7,9,16,93,11.61
8476975,CEDRIC PAQUETTE,C,8,8,16,72,12.63
8475728,JOHAN LARSSON,C,6,10,16,62,14.35
8476878,ZEMGUS GIRGENSONS,C,8,8,16,71,13.4
8474166,ALEC MARTINEZ,D,3,12,15,77,20.44
8477930,PIERRE-EDOUARD BELLEMARE,LW,6,9,15,73,12.94
8476874,OLLI MAATTA,D,3,12,15,69,17.6
8475208,BRIAN DUMOULIN,D,2,13,15,71,19.95
8477931,TOMAS NOSEK,LW,7,8,15,79,11.53
8475772,RILEY SHEAHAN,C,7,8,15,67,12.58
8477240,CARTER ROWNEY,RW,6,9,15,55,12.51
8470626,LOUI ERIKSSON,LW,6,9,15,68,12.3
8476437,VICTOR RASK,C,6,9,15,56,10.6
8476921,JORDAN MARTINOOK,LW,5,10,15,67,11.46
8473546,MICHAEL GRABNER,RW,9,6,15,76,12.33
8474013,IAN COLE,D,2,13,15,69,17.1
8476779,BRAD HUNT,D,5,10,15,90,14.6
8473463,LEO KOMAROV,C,4,11,15,57,12.47
8474571,MIKKEL BOEDKER,LW,5,10,15,70,10.17
8477353,TYLER MOTTE,C,7,7,14,73,12.77
8474250,ZACK SMITH,LW,5,9,14,58,12.06
8477478,WILLIAM CARRIER,LW,7,7,14,80,9.84
8478408,TRAVIS DERMOTT,D,4,10,14,71,16.58
8471794,DARREN HELM,LW,7,7,14,84,13.44
8474098,COLTON SCEVIOUR,C,5,9,14,94,12.83
8479482,MICHAL KEMPNY,D,2,12,14,73,17.86
8477903,GARNET HATHAWAY,RW,7,7,14,66,10.7
8471873,ANTON STRALMAN,D,2,12,14,69,19.9
8475343,NIC DOWD,C,6,8,14,54,10.78
8476441,JOEL EDMUNDSON,D,4,10,14,78,17.7
8475832,TOM KUHNHACKL,RW,6,8,14,57,11.31
8473446,ERIK JOHNSON,D,3,11,14,92,19.92
8476474,STEFAN NOESEN,RW,8,6,14,88,11.5
8478906,MARKUS NUTIVAARA,D,4,10,14,68,15.5
8470655,DAVID BACKES,RW,4,10,14,80,9.82
8476917,ADAM PELECH,D,2,12,14,76,19.77
8470144,FRANS NIELSEN,C,5,9,14,79,13.61
8476873,MARK JANKOWSKI,C,7,7,14,52,11.15
8476915,JUJHAR KHAIRA,LW,6,8,14,65,12.28
8476312,JOSH MANSON,D,2,11,13,71,19.74
8474697,MARK BOROWIECKI,D,4,9,13,65,16.91
8478432,CHRISTIAN FISCHER,RW,7,6,13,83,11.13
8476894,BRENDAN LEIPSIC,LW,4,9,13,55,9.71
8479442,TROY STECHER,D,3,10,13,67,15.27
8477018,BEN HUTTON,D,3,10,13,88,17.85
8476858,PHILLIP DI GIUSEPPE,LW,4,9,13,89,11.04
8471709,MARC-EDOUARD VLASIC,D,3,10,13,64,19.34
8473504,CAL CLUTTERBUCK,RW,5,8,13,62,13.14
8476886,SLATER KOEKKOEK,D,3,10,13,64,15.99
8475177,CALVIN DE HAAN,D,2,11,13,78,18.78
8476331,DYLAN DEMELO,D,1,12,13,72,19.04
8476429,SCOTT MAYFIELD,D,4,9,13,78,18.83
8477462,ROBERT HAGG,D,3,10,13,51,15.16
8477851,JORDAN OESTERLE,D,3,10,13,63,16.5
8476941,CONNOR CARRICK,D,3,10,13,54,14.21
8474584,MICHAEL DEL ZOTTO,D,1,12,13,64,17.68
8478443,BRANDON CARLO,D,3,10,13,89,19.39
8475780,CHRIS WAGNER,RW,7,6,13,76,12.23
8476879,CODY CECI,D,3,10,13,64,19.69
8470755,BRAD RICHARDSON,C,7,6,13,79,13.51
8475690,CHRISTOPHER TANEV,D,1,12,13,45,18.64
8471699,ANDREW COGLIANO,LW,4,9,13,65,12.2
8477464,NIC PETAN,LW,3,9,12,67,10.66
8476822,LUKE GLENDENING,RW,6,6,12,73,14.86
8474062,RILEY NASH,C,4,8,12,60,11.56
8475455,BRENDEN DILLON,D,1,11,12,52,18.42
8475235,NICOLAS DESLAURIERS,LW,6,6,12,61,9.83
8477938,HAYDN FLEURY,D,3,9,12,70,13.19
8476470,NATHAN BEAULIEU,D,2,10,12,61,16.15
8476439,BRETT RITCHIE,RW,5,7,12,69,10.28
8476931,JAKE MCCABE,D,3,9,12,63,17.72
8473453,TREVOR LEWIS,C,5,7,12,89,11.93
8477507,NIKITA ZADOROV,D,4,8,12,64,16.82
8477922,MELKER KARLSSON,C,6,6,12,58,11.97
8476449,SCOTT HARRINGTON,D,2,10,12,51,13.46
8479376,VICTOR METE,D,3,9,12,60,15.57
8471743,VLADIMIR SOBOTKA,LW,4,8,12,75,13.83
8479458,NIKITA ZAITSEV,D,2,10,12,61,20.77
8477943,BRENDAN PERLINI,LW,6,6,12,76,10.72
8477454,ADAM ERNE,LW,5,7,12,67,11.51
8471817,RYAN REAVES,RW,5,7,12,55,10.17
8476356,TOBIAS RIEDER,C,4,8,12,75,11.14
8475462,RADKO GUDAS,D,1,11,12,78,16.16
8470775,NATE THOMPSON,C,4,8,12,56,12.55
8474027,JUSTIN BRAUN,D,1,11,12,63,16.82
8475796,MARK PYSYK,D,4,8,12,54,13.03
8475735,GREG MCKEGG,C,6,6,12,46,9.72
8477455,JACOB DE LA ROSE,LW,4,8,12,57,10.72
8474612,TRAVIS HAMONIC,D,3,9,12,90,20.04
8474567,ZACH BOGOSIAN,D,1,10,11,66,16.61
8474218,JASON DEMERS,D,1,10,11,61,19.39
8476988,MATT BENNING,D,2,9,11,55,13.08
8480172,JAN RUTTA,D,2,9,11,66,15.03
8476967,BRETT KULAK,D,2,9,11,93,16.5
8475750,JON MERRILL,D,3,8,11,54,17.31
8475747,PATRIK NEMETH,D,2,9,11,71,20.28
8474207,NICK HOLDEN,D,3,8,11,81,17.65
8475841,TIM HEED,D,2,9,11,60,12.84
8472382,ANDY GREENE,D,1,10,11,58,18.72
8476440,MARKUS GRANLUND,C,6,5,11,57,11.17
8475807,JOAKIM NORDSTROM,LW,5,6,11,65,11.92
8477527,ROSS JOHNSTON,LW,5,6,11,39,8.18
8474291,JAY BEAGLE,C,3,8,11,53,12.42
8477046,JOAKIM RYAN,D,2,9,11,76,17.58
8465009,ZDENO CHARA,D,3,8,11,70,19.82
8476948,CHARLES HUDON,LW,5,6,11,83,11.4
8468493,RON HAINSEY,D,1,10,11,47,19.57
8474736,ZAC RINALDO,C,6,5,11,51,8.33
8470607,BRENT SEABROOK,D,3,7,10,78,17.43
8477509,MIRCO MUELLER,D,2,8,10,41,16.92
8474668,DALE WEISE,RW,3,7,10,47,9.59
8477213,TIM SCHALLER,C,5,5,10,57,11.32
8474125,CARL GUNNARSSON,D,3,7,10,50,15.2
8475233,DAVID SAVARD,D,1,9,10,78,19.52
8476467,JAMIE OLEKSIAK,D,3,7,10,61,15.24
8474618,MARCO SCANDELLA,D,3,7,10,67,16.88
8475188,BRAYDEN MCNABB,D,2,8,10,60,18.95
8474709,MATT MARTIN,LW,5,5,10,53,10.48
8471426,TROY BROUWER,RW,6,4,10,53,9.9
8476457,ADAM LARSSON,D,2,8,10,71,19.03
8477845,TREVOR VAN RIEMSDYK,D,2,8,10,66,14.4
8475790,ERIK GUDBRANSON,D,3,7,10,78,18.31
8474818,JORDIE BENN,D,1,8,9,66,15.85
8480147,OSCAR FANTENBERG,D,2,7,9,66,15.33
8477401,JOHN HAYDEN,RW,5,4,9,55,9.69
8471686,MARC STAAL,D,1,8,9,53,17.06
8470187,JOHNNY BOYCHUK,D,1,8,9,84,16.71
8475179,DMITRY KULIKOV,D,1,8,9,57,18.58
8470151,JAY BOUWMEESTER,D,1,8,9,56,20.33
8470110,TREVOR DALEY,D,1,7,8,50,15.38
8471729,KRIS RUSSELL,D,0,8,8,48,16.47
8471769,NIKLAS HJALMARSSON,D,1,7,8,42,17.98
8471677,JACK JOHNSON,D,1,7,8,56,18.5
8470601,BRAYDON COBURN,D,1,7,8,62,13.85
8468674,DERYK ENGELLAND,D,1,7,8,66,17.04
8471716,JUSTIN ABDELKADER,LW,2,6,8,55,11.77
8477850,CHRISTIAN FOLIN,D,2,6,8,50,14.11
8475186,JOHN MOORE,D,3,5,8,74,16.11
8471284,ANDREJ SEKERA,D,1,7,8,62,16.96
8475324,NICK JENSEN,D,0,8,8,55,17.18
8473415,ALEX BIEGA,D,0,8,8,75,15.9
8475762,DEREK FORBORT,D,1,6,7,58,17.32
8474688,GREG PATERYN,D,0,7,7,61,15.09
8476207,BRIAN GIBBONS,LW,3,4,7,42,9.9
8477244,CHAD RUHWEDEL,D,2,5,7,59,14.44
8474145,ROBERT BORTUZZO,D,1,6,7,52,13.01
8475868,ANTHONY BITETTO,D,0,7,7,57,14.32
8469465,DAN HAMHUIS,D,0,7,7,41,14.22
8475268,GABRIEL BOURQUE,LW,2,5,7,41,8.86
8471392,ROMAN POLAK,D,0,6,6,50,16.25
8473560,KORBINIAN HOLZER,D,1,5,6,46,15.43
8474090,BRENDAN SMITH,D,1,5,6,44,11.41
8475625,MATT IRWIN,D,0,6,6,77,13.71
8474134,YANNICK WEBER,D,1,4,5,60,13.4
8474568,LUKE SCHENN,D,1,4,5,62,12.35
8470318,JONATHAN ERICSSON,D,0,2,2,48,14.12
